"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: UNIT_0507_3B,96941.68,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0508,42278.82,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0509_2B,89540.39,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0510,41140.87,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0511,43146.87,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0512,43291.21,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0513,42800.54,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0514,42848.31,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0515,43305.54,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0516,43202.83,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0517_4B,137700.04,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2101_4B,26560.79,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2102,8017.51,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2103,8779.78,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2104,8778.08,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2105,8075.17,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2106,7976.22,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2107_3B,19486.4,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2108,9709.59,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2109_2B,17153.18,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2110,8096.33,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2111,8327.67,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2112,8287.75,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2113,8303.79,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2114,8318.12,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2115,8318.12,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2116,8341.66,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2117_4B,26839.91,        2.91,9.92,9.93,10.31
RTU COIL COOLING DX SINGLE SPEED,114592.01,        2.79,9.52,10.1,9.85
THERMAL ZONE: AMEN_0300 COIL COOLING DX SINGLE SPEED,121275.02,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_0400 COIL COOLING DX SINGLE SPEED,122384.99,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_0500 COIL COOLING DX SINGLE SPEED,123367.01,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_2100 COIL COOLING DX SINGLE SPEED,23241.46,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_2204 COIL COOLING DX SINGLE SPEED,50660.07,        3.13,10.67,11.31,10.81
THERMAL ZONE: AMEN_2205 COIL COOLING DX SINGLE SPEED,16968.58,        3.05,10.39,11.01,10.38
THERMAL ZONE: AMEN_FITNESS_2202 COIL COOLING DX SINGLE SPEED,60854.52,        3.06,10.44,11.06,10.42
THERMAL ZONE: AMEN_SKYLOUNGE_2201 COIL COOLING DX SINGLE SPEED,82966.22,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_SUNROOM_2203 COIL COOLING DX SINGLE SPEED,24312.19,        3.13,10.67,11.31,10.81
THERMAL ZONE: ELEV CONTROL_2301 COIL COOLING DX SINGLE SPEED,211.55,        3.17,10.8,11.45,11.01
THERMAL ZONE: ELEV CONTROL_2302 COIL COOLING DX SINGLE SPEED,140.58,        2.58,8.81,9.34,8.93
THERMAL ZONE: LAUNDRY_0109 COIL COOLING DX SINGLE SPEED,59383.21,        3.15,10.76,11.4,10.94
THERMAL ZONE: LOBBY_0101 COIL COOLING DX SINGLE SPEED,5971.59,        3.17,10.8,11.45,11.01
THERMAL ZONE: OFFICE_0101 COIL COOLING DX SINGLE SPEED,11174.42,        3.03,10.33,10.94,10.29
THERMAL ZONE: RETAIL_0100 COIL COOLING DX SINGLE SPEED 1,120085.55,        3.13,10.67,11.31,10.81
THERMAL ZONE: XFMR_0201 COIL COOLING DX SINGLE SPEED,9658.07,        3.17,10.8,11.45,11.01
THERMAL ZONE: XFMR_0401 COIL COOLING DX SINGLE SPEED,57966.49,        2.69,9.16,9.73,9.49
