"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: UNIT_0313,32287.73,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0314,32323.22,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0315,34214.57,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0316,33444.79,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0317_4B,73543.25,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0401_4B,56880.4,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0402,29313.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0403,33409.98,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0404,33123.03,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0405,26341.05,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0406,18603.34,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0407_3B,77238.6,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0408,27015.29,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0409_2B,64249.26,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0410,25935.69,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0411,37785.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0412,38496.12,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0413,36170.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0414,36243.43,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0415,38606.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0416,37789.81,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0417_4B,80775.97,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0501_4B,56619.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0502,29000.81,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0503,32768.16,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0504,32461.75,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0505,26085.48,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0506,18476.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0507_3B,77298.66,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0508,27929.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0509_2B,63750.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0510,25782.48,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0511,37454.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0512,38167.88,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0513,35882.76,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0514,35958.85,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0515,38291.39,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0516,37482.72,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0517_4B,80831.25,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2101_4B,12830.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2102,4378.12,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2103,5110.02,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2104,5207.61,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2105,4643.92,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2106,3092.08,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2107_3B,11601.28,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2108,5696.23,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2109_2B,9691.16,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2110,3987.77,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2111,5544.39,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2112,5686.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2113,6035.4,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2114,6047.0,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2115,5693.16,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2116,5525.96,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2117_4B,12746.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: XFMR_0201,39720.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: XFMR_0401,238421.69,        2.88,9.84,9.85,10.23
THERMAL ZONE: RETAIL_0100 COIL COOLING DX SINGLE SPEED,144765.91,        3.12,10.65,11.29,10.8
