"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: UNIT_0402,22079.97,12297.02,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0403,25165.57,14015.71,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0404,24949.58,13895.26,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0405,19841.26,11050.22,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0406,14012.64,7804.25,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0407_3B,58179.06,32402.38,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0408,20348.99,11333.09,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0409_2B,48394.74,26953.19,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0410,19535.88,10880.3,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0411,28461.36,15851.45,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0412,28996.72,16149.32,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0413,27244.93,15173.79,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0414,27299.86,15204.5,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0415,29079.98,16195.73,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0416,28464.77,15853.15,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0417_4B,60843.6,33886.32,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0501_4B,42647.68,23752.26,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0502,21844.53,12165.99,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0503,24682.07,13746.49,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0504,24451.41,13617.86,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0505,19648.48,10943.08,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0506,13917.1,7751.02,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0507_3B,58224.11,32427.29,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0508,21037.9,11716.95,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0509_2B,48019.41,26744.02,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0510,19420.55,10816.15,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0511,28212.27,15712.57,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0512,28749.68,16011.82,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0513,27028.26,15053.0,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0514,27085.58,15085.08,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0515,28842.49,16063.68,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0516,28233.43,15724.17,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0517_4B,60884.89,33909.18,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2101_4B,9664.55,5382.65,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2102,3297.83,1836.76,6.57,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2103,3848.9,2143.51,6.69,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2104,3922.6,2184.79,6.7,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2105,3497.79,1947.99,6.65,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2106,2329.13,1297.3,6.02,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2107_3B,8738.49,4866.74,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2108,4290.77,2389.52,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2109_2B,7299.59,4065.57,6.69,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2110,3003.71,1672.97,6.45,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2111,4176.46,2326.06,6.74,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2112,4283.26,2385.43,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2113,4546.0,2531.81,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2114,4554.87,2536.93,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2115,4288.38,2388.5,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2116,4162.47,2318.21,6.74,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2117_4B,9601.43,5347.51,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: XFMR_0201,29919.36,16663.19,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: XFMR_0401,179588.18,100019.77,6.71,           4
THERMAL ZONE: RETAIL_0100 COIL HEATING DX SINGLE SPEED,156695.43,86748.58,7.51,           4
