"",Construction,Assembly U-Factor with Film,Reflectance
AMEN_0300 - WALL 000:A,SEC-2015 COMM GROUP R AG EXTWALL STEELFRAME: R-19 + R-8.5 CI ADJ EXT WALL INSULATION,0.05,        0.30
AMEN_FITNESS_2200 - ROOFCEILING:A,SEC-2015 COMM GROUP R EXTROOF IEAD,0.03,        0.30
AMEN_SKYLOUNGEROOM_2200 - FLOOR:B,SEC-2015 COMM GROUP R SLAB-ON-GROUND,0.07,        1.00
