"",Above Ground Wall Area,Vertical Glazing Area,Above Ground Window-Wall Ratio
North (315 to 45 deg),20075.66,3876.19,       19.31
East (45 to 135 deg),31731.25,10136.16,       31.94
South (135 to 225 deg),20076.42,6723.57,       33.49
West (225 to 315 deg),30232.81,9916.79,       32.80
Total,102116.03,30652.71,       30.02
