thermal_zone,airloop
THERMAL ZONE: AMEN_2204,ERV-SKY
THERMAL ZONE: AMEN_2205,ERV-SKY
THERMAL ZONE: AMEN_SKYLOUNGE_2201,ERV-SKY
THERMAL ZONE: AMEN_SUNROOM_2203,ERV-SKY
