thermal_zone,airloop
THERMAL ZONE: AMEN_0300,doas_system
THERMAL ZONE: AMEN_0400,doas_system
THERMAL ZONE: AMEN_0501,doas_system
THERMAL ZONE: AMEN_2100,doas_system
THERMAL ZONE: AMEN_FITNESS_2200,doas_system
THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,doas_system
THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,doas_system
THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,doas_system
THERMAL ZONE: AMEN_SKYLOUNGE_2200,doas_system
THERMAL ZONE: CORR_0100,doas_system
THERMAL ZONE: CORR_0200,doas_system
THERMAL ZONE: CORR_0300,doas_system
THERMAL ZONE: CORR_0400,doas_system
THERMAL ZONE: CORR_0500,doas_system
THERMAL ZONE: CORR_2100,doas_system
THERMAL ZONE: CORR_2300,doas_system
THERMAL ZONE: CORR_2301,doas_system
THERMAL ZONE: ELEC_0300,doas_system
THERMAL ZONE: ELEC_0400,doas_system
THERMAL ZONE: ELEV CONTROL_2301,doas_system
THERMAL ZONE: ELEV CONTROL_2302,doas_system
THERMAL ZONE: ELEV LOBBY_2300,doas_system
THERMAL ZONE: ELEV LOBBY_P101,doas_system
THERMAL ZONE: ELEV LOBBY_P200,doas_system
THERMAL ZONE: ELEV_0101,doas_system
THERMAL ZONE: ELEV_0102,doas_system
THERMAL ZONE: ELEV_0201,doas_system
THERMAL ZONE: ELEV_0202,doas_system
THERMAL ZONE: ELEV_0301,doas_system
THERMAL ZONE: ELEV_0302,doas_system
THERMAL ZONE: ELEV_0401,doas_system
THERMAL ZONE: ELEV_0402,doas_system
THERMAL ZONE: ELEV_0501,doas_system
THERMAL ZONE: ELEV_0502,doas_system
THERMAL ZONE: ELEV_2101,doas_system
THERMAL ZONE: ELEV_2102,doas_system
THERMAL ZONE: ELEV_2301,doas_system
THERMAL ZONE: ELEV_2302,doas_system
THERMAL ZONE: ELEV_2303,doas_system
THERMAL ZONE: ELEV_2304,doas_system
THERMAL ZONE: ELEV_P101,doas_system
THERMAL ZONE: ELEV_P102,doas_system
