"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
THERMAL ZONE: UNIT_2114: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 87 FAN,Fan:OnOff,        0.60,0.81,169.51,89.36,334.75,        1.00,""
THERMAL ZONE: UNIT_2115: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 88 FAN,Fan:OnOff,        0.60,0.81,169.51,86.05,334.75,        1.00,""
THERMAL ZONE: UNIT_2116: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 93 FAN,Fan:OnOff,        0.60,0.81,360.21,189.61,334.75,        1.00,""
THERMAL ZONE: UNIT_2117_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 20 FAN,Fan:OnOff,        0.60,0.81,1080.63,578.22,334.75,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 57 FAN,Fan:OnOff,        0.60,0.81,6441.4,3470.49,334.75,        1.00,""
ERV-CLB03 RETURN FAN,Fan:VariableVolume,        0.65,1.3,783.99,634.18,497.41,        1.00,""
ERV-CLB03 SUPPLY FAN,Fan:VariableVolume,        0.65,1.3,783.99,634.18,497.41,        1.00,""
ERV-CLB05 RETURN FAN,Fan:VariableVolume,        0.65,1.3,402.59,317.09,497.41,        1.00,""
ERV-CLB05 SUPPLY FAN,Fan:VariableVolume,        0.65,1.3,402.59,317.09,497.41,        1.00,""
ERV-CLB21 RETURN FAN,Fan:VariableVolume,        0.65,1.3,127.13,100.11,497.41,        1.00,""
ERV-CLB21 SUPPLY FAN,Fan:VariableVolume,        0.65,1.3,127.13,100.11,497.41,        1.00,""
ERV-FIT RETURN FAN,Fan:VariableVolume,        0.65,1.3,1207.76,961.2,497.41,        1.00,""
ERV-FIT SUPPLY FAN,Fan:VariableVolume,        0.65,1.3,1207.76,961.2,497.41,        1.00,""
ERV-LOB RETURN FAN,Fan:VariableVolume,        0.65,1.3,360.21,296.38,497.41,        1.00,""
ERV-LOB SUPPLY FAN,Fan:VariableVolume,        0.65,1.3,360.21,296.38,497.41,        1.00,""
ERV-SKY RETURN FAN,Fan:VariableVolume,        0.65,1.3,614.48,496.64,497.41,        1.00,""
ERV-SKY SUPPLY FAN,Fan:VariableVolume,        0.65,1.3,614.48,496.64,497.41,        1.00,""
FAN CONSTANT VOLUME 1,Fan:ConstantVolume,        0.70,2.96,4449.65,7567.31,1053.65,        1.00,""
THERMAL ZONE: RETAIL_0100 CONSTANT VOLUME FAN,Fan:ConstantVolume,        0.70,4.97,4725.1,13460.69,1768.53,        1.00,""
