"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
THERMAL ZONE: UNIT_0212: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 10 FAN,Fan:OnOff,        0.60,0.81,233.08,127.99,334.75,        1.00,""
THERMAL ZONE: UNIT_0213: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 11 FAN,Fan:OnOff,        0.60,0.81,211.89,112.33,334.75,        1.00,""
THERMAL ZONE: UNIT_0214: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 12 FAN,Fan:OnOff,        0.60,0.81,169.51,86.84,334.75,        1.00,""
THERMAL ZONE: UNIT_0215: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 13 FAN,Fan:OnOff,        0.60,0.81,148.32,84.83,334.75,        1.00,""
THERMAL ZONE: UNIT_0216: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 14 FAN,Fan:OnOff,        0.60,0.81,148.32,78.92,334.75,        1.00,""
THERMAL ZONE: UNIT_0217: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 15 FAN,Fan:OnOff,        0.60,0.81,148.32,75.72,334.75,        1.00,""
THERMAL ZONE: UNIT_0218: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 19 FAN,Fan:OnOff,        0.60,0.81,296.64,161.46,334.75,        1.00,""
THERMAL ZONE: UNIT_0219_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 35 FAN,Fan:OnOff,        0.60,0.81,1419.65,760.26,334.75,        1.00,""
THERMAL ZONE: UNIT_0301_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 21 FAN,Fan:OnOff,        0.60,0.81,741.61,399.9,334.75,        1.00,""
THERMAL ZONE: UNIT_0302: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 22 FAN,Fan:OnOff,        0.60,0.81,868.74,473.37,334.75,        1.00,""
