"",Above Ground Wall Area,Vertical Glazing Area,Above Ground Window-Wall Ratio
North (315 to 45 deg),20566.17,4464.12,       21.71
East (45 to 135 deg),32833.91,11778.73,       35.87
South (135 to 225 deg),20667.78,7751.74,       37.51
West (225 to 315 deg),29642.09,11476.48,       38.72
Total,103710.07,35471.17,       34.20
