"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: ELEV CONTROL_2301,251.13,        3.06,10.43,10.43,10.79
SPD DX CLG COIL: THERMAL ZONE: ELEV CONTROL_2302,297.2,        3.06,10.43,10.43,10.79
RTU COIL COOLING DX SINGLE SPEED,108747.69,        2.76,9.43,10.01,9.71
