"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: ELEV CONTROL_2301,189.37,105.44,3.79,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV CONTROL_2302,223.84,124.54,3.83,           4
COIL HEATING DX SINGLE SPEED 1,117377.33,64910.88,6.07,           4
