"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: UNIT_0507_3B,96975.8,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0508,42226.28,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0509_2B,89602.16,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0510,41132.0,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0511,43135.27,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0512,43279.26,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0513,42788.6,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0514,42836.37,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0515,43296.33,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0516,43219.55,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0517_4B,121951.65,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2101_4B,23700.05,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2102,8024.33,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2103,8785.24,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2104,8783.53,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2105,8080.29,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2106,7985.09,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2107_3B,19504.48,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2108,9717.44,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2109_2B,17171.26,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2110,8104.18,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2111,8335.52,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2112,8295.6,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2113,8311.98,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2114,8326.31,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2115,8326.31,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2116,8350.19,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_2117_4B,23979.17,        2.91,9.92,9.93,10.31
RTU COIL COOLING DX SINGLE SPEED,114592.01,        2.79,9.52,10.1,9.85
