"",Above Ground Wall Area,Vertical Glazing Area,Above Ground Window-Wall Ratio
North (315 to 45 deg),20693.19,3718.93,       17.97
East (45 to 135 deg),32746.08,9812.6,       29.97
South (135 to 225 deg),20540.88,6457.81,       31.44
West (225 to 315 deg),29642.09,9567.82,       32.28
Total,103622.23,29557.16,       28.52
