"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: UNIT_0514,32265.89,17970.39,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0515,32612.57,18163.17,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0516,32554.56,18131.1,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0517_4B,91858.6,51159.61,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2101_4B,17851.64,9942.3,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2102,6044.27,3366.42,6.79,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2103,6617.51,3685.45,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2104,6615.8,3684.77,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2105,6086.24,3389.62,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2106,6014.58,3349.7,6.79,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2107_3B,14691.66,8182.32,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2108,7319.73,4076.49,6.72,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2109_2B,12934.06,7203.37,6.8,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2110,6104.32,3399.86,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2111,6278.68,3496.76,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2112,6248.66,3480.04,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2113,6260.94,3486.87,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2114,6271.52,3493.01,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2115,6271.52,3493.01,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2116,6289.6,3502.9,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2117_4B,18062.17,10059.34,6.81,           4
THERMAL ZONE: AMEN_0300 COIL HEATING DX SINGLE SPEED,133336.26,74260.48,7.34,           4
THERMAL ZONE: AMEN_0400 COIL HEATING DX SINGLE SPEED,134713.74,75027.54,7.35,           4
THERMAL ZONE: AMEN_0500 COIL HEATING DX SINGLE SPEED,136168.34,75837.58,7.35,           4
THERMAL ZONE: AMEN_2100 COIL HEATING DX SINGLE SPEED,25553.87,14232.04,7.34,           4
THERMAL ZONE: AMEN_2204 COIL HEATING DX SINGLE SPEED,54855.63,30373.52,7.46,           4
THERMAL ZONE: AMEN_2205 COIL HEATING DX SINGLE SPEED,18070.02,10063.77,7.32,           4
THERMAL ZONE: AMEN_FITNESS_2202 COIL HEATING DX SINGLE SPEED,66721.36,37120.35,7.34,           4
THERMAL ZONE: AMEN_SKYLOUNGE_2201 COIL HEATING DX SINGLE SPEED,91219.85,50804.06,7.34,           4
THERMAL ZONE: AMEN_SUNROOM_2203 COIL HEATING DX SINGLE SPEED,23178.0,12833.41,7.42,           4
THERMAL ZONE: ELEV CONTROL_2301 COIL HEATING DX SINGLE SPEED,176.41,170.27,3.7,           4
THERMAL ZONE: ELEV CONTROL_2302 COIL HEATING DX SINGLE SPEED,154.57,85.99,3.62,           4
THERMAL ZONE: LAUNDRY_0109 COIL HEATING DX SINGLE SPEED,13368.09,7385.24,7.45,           4
THERMAL ZONE: LOBBY_0101 COIL HEATING DX SINGLE SPEED,6429.5,3552.04,7.47,           4
THERMAL ZONE: OFFICE_0101 COIL HEATING DX SINGLE SPEED,10085.95,5617.07,7.34,           4
THERMAL ZONE: RETAIL_0100 COIL HEATING DX SINGLE SPEED 1,130747.47,72394.38,7.43,           4
THERMAL ZONE: XFMR_0201 COIL HEATING DX SINGLE SPEED,10398.5,5744.68,7.48,           4
THERMAL ZONE: XFMR_0401 COIL HEATING DX SINGLE SPEED,62411.82,34480.37,6.79,           4
