"",Total Watts,Astronomical Clock/Schedule,Schedule Name,Scheduled Hours/Week,Hours/Week > 1%,Consumption
EXTERIOR LIGHTS,6565.0,AstronomicalClock,-,0.0,75.58,25872.22
EXTERIOR LIGHTS 1,0.0,Schedule,ALWAYS OFF,0.0,0.0,0.0
