"",Construction,Assembly U-Factor with Film,Reflectance
AMEN_0300 - WALL 000:A,SEC-2015 COMM GROUP R AG EXTWALL STEELFRAME: R-19 + R-8.5 CI,0.05,        0.30
AMEN_2204 - ROOFCEILING:A,SEC-2015 COMM GROUP R EXTROOF IEAD,0.03,        0.30
ELEV LOBBY_P200 - FLOOR:A,SEC-2015 COMM GROUP R SLAB-ON-GROUND,0.07,        1.00
