Zone Names,Space Names,Spacetype Tag,Conditioned,Baseline System,Proposed system,ERV
THERMAL ZONE: STAIR_0401, STAIR_0401, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_0402, STAIR_0402, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_0501, STAIR_0501, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_0502, STAIR_0502, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_2101, STAIR_2101, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_2102, STAIR_2102, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_2201, STAIR_2201, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_2202, STAIR_2202, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_2301, STAIR_2301, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_2302, STAIR_2302, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_P101, STAIR_P101, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_P102, STAIR_P102, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_P201, STAIR_P201, STAIR,Unconditioned,,,
THERMAL ZONE: STAIR_P202, STAIR_P202, STAIR,Unconditioned,,,
THERMAL ZONE: STOR_0100, STOR_0100, STOR,Unconditioned,,,
THERMAL ZONE: STOR_0200, STOR_0200, STOR,Unconditioned,,,
THERMAL ZONE: STOR_0300, STOR_0300, STOR,Unconditioned,,,
THERMAL ZONE: STOR_0400, STOR_0400, STOR,Unconditioned,,,
THERMAL ZONE: STOR_0500, STOR_0500, STOR,Unconditioned,,,
THERMAL ZONE: STOR_2100, STOR_2100, STOR,Unconditioned,,,
THERMAL ZONE: STOR_P100, STOR_P100, STOR,Unconditioned,,,
THERMAL ZONE: STOR_P200, STOR_P200, STOR,Unconditioned,,,
THERMAL ZONE: TRASH_0200, TRASH_0200, TRASH,Unconditioned,,,
THERMAL ZONE: TRASH_0300, TRASH_0300, TRASH,Unconditioned,,,
THERMAL ZONE: TRASH_0400, TRASH_0400, TRASH,Unconditioned,,,
THERMAL ZONE: TRASH_0500, TRASH_0500, TRASH,Unconditioned,,,
THERMAL ZONE: TRASH_2100, TRASH_2100, TRASH,Unconditioned,,,
THERMAL ZONE: TRASH_2200, TRASH_2200, TRASH,Unconditioned,,,
THERMAL ZONE: UNIT_0201_4B, UNIT_0201_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0202, UNIT_0202, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0203, UNIT_0203, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0204, UNIT_0204, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0205, UNIT_0205, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0206, UNIT_0206, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0207, UNIT_0207, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0208, UNIT_0208, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0209_3B, UNIT_0209_3B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0210, UNIT_0210, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0211_2B, UNIT_0211_2B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0212, UNIT_0212, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0213, UNIT_0213, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0214, UNIT_0214, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0215, UNIT_0215, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0216, UNIT_0216, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0217, UNIT_0217, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0218, UNIT_0218, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0219_4B, UNIT_0219_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0301_4B, UNIT_0301_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0302, UNIT_0302, UNIT,Conditioned,PTHP,VRF,
